id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-007 46 118 64 2007-08-14 Female 2007 A PW 2004 FALSE 0 0 0 -1.38690833999137 -0.800199382847688 CN06-007 3 0 1 6 8 2007-01-01 225 81 6 0 3.44827586206897 1.26315789473684 -0.494666544392298 -0.0700618913027372 5.08474576271187 0.00647205087282077 -0.206934203171546 1.280703655228
CN06-007 56 113 69 2007-08-15 Female 2007 A JR 2004 FALSE 0 0 0 -1.46940665161812 -0.0516448061952222 CN06-007 3 0 1 6 8 2007-01-01 226 82 6 0 3.44827586206897 1.26315789473684 0.834606198832777 -0.417868119025691 5.08474576271187 0.0356566856086599 -0.177290067941287 1.284741798789
CN06-010 52 NA 56 2006-06-14 Male 2006 A PW 2005 FALSE 0 0 0 -1.79939989812514 0.696909770457243 CN06-010 1 0 0 0 0 2006-01-01 164 20 0 0 0 0 -1.08545443027011 0.62555056414317 0 -1.77379066801336 -1.3274097685312 0.0128339136439454
CN06-010 53 NA 57 2006-06-14 Male 2006 A PW 2005 FALSE 0 0 0 -1.79939989812514 0.197873386022266 CN06-010 1 0 0 0 0 2006-01-01 164 20 0 0 0 0 -0.790060487331203 0.62555056414317 0 -1.77379066801336 -1.3274097685312 0.00183688226623184
CN06-011 31 NA 52 2006-06-14 Female 2006 A PW 2005 FALSE CN06-013 CN05-M3 0 -1.8818982097519 0.696909770457243 CN06-011 1 0 0 3 3 2006-01-01 164 20 3 0 1.62162162162162 0.78125 -0.494666544392298 1.32116301958908 2.4390243902439 -1.77379066801336 -1.3274097685312 0.788654174465725
CN06-011 35 NA NA 2006-08-16 Female 2006 A SR/PW/TB 2005 FALSE CN06-013 CN05-M3 0 -1.79939989812514 -0.0516448061952222 CN06-011 1 0 0 3 3 2006-01-01 227 83 3 0 1.62162162162162 0.78125 0.0961213414855136 -0.417868119025691 2.4390243902439 0.064841320344499 -0.147282200990412 0.79762817192455
CN06-011 40 NA NA 2006-08-17 Female 2006 A SR/PW/TB 2005 FALSE CN06-013 CN05-M3 0 -1.79939989812514 -0.0516448061952222 CN06-011 1 0 0 3 3 2006-01-01 228 84 3 0 1.62162162162162 0.78125 0.0961213414855136 -0.417868119025691 2.4390243902439 0.0940259550803381 -0.11691060231892 0.784617321676001
CN06-011 NA NA NA 2006-08-18 Female 2006 A SR/PW/TB 2005 FALSE CN06-013 CN05-M3 0 -1.79939989812514 -0.0516448061952222 CN06-011 1 0 0 3 3 2006-01-01 229 85 3 0 1.62162162162162 0.78125 0.0961213414855136 -0.417868119025691 2.4390243902439 0.123210589816177 -0.0861752719268112 0.784016532448244
CN06-012 41 NA 53 2006-06-14 Female 2006 A PW 2005 FALSE 0 0 0 -1.71690158649839 0.197873386022266 CN06-012 1 0 0 1 1 2006-01-01 164 20 1 0 0.54054054054054 0.260416666666667 -0.790060487331203 -0.0700618913027372 0.813008130081301 -1.77379066801336 -1.3274097685312 0.272120205977121
CN06-012 41 NA NA 2006-06-14 Female 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 0.197873386022266 CN06-012 1 0 0 1 1 2006-01-01 164 20 1 0 0.54054054054054 0.260416666666667 -1.08545443027011 -0.0700618913027372 0.813008130081301 -1.77379066801336 -1.3274097685312 0.262654641659475
CN06-013 39 NA 58 2006-06-14 Female 2006 A PW 2004 FALSE 0 0 0 -1.8818982097519 -0.301162998412711 CN06-013 2 0 0 0 3 2006-01-01 164 20 0 0 0 0.473684210526316 -1.08545443027011 0.277744336420216 0 -1.77379066801336 -1.3274097685312 0.474399511004464
CN06-014 40 NA 51 2006-06-14 Female 2006 A PW 2005 FALSE 0 0 0 -1.96439652137865 -0.550681190630199 CN06-014 1 0 0 2 2 2006-01-01 164 20 2 0 1.08108108108108 0.520833333333333 -0.494666544392298 -0.0700618913027372 1.6260162601626 -1.77379066801336 -1.3274097685312 0.528167662742677
CN06-014 39 NA NA 2006-07-06 Female 2006 A PW 2005 FALSE 0 0 0 -1.79939989812514 -1.04971757506518 CN06-014 1 0 0 2 2 2006-01-01 186 42 2 0 1.08108108108108 0.520833333333333 -1.38084837320901 -0.0700618913027372 1.6260162601626 -1.1317287038249 -1.07934473507063 0.535677540418077
CN06-015 47 NA 57 2006-06-14 Male 2006 A PW 2005 FALSE 0 0 0 -1.79939989812514 -0.550681190630199 CN06-015 1 0 0 5 5 2006-01-01 164 20 5 0 3.73873873873874 0.867768595041322 -0.64236351586175 -0.417868119025691 4.77011494252874 -1.77379066801336 -1.3274097685312 0.870046933451008
CN06-015 49 NA 58 2006-08-08 Male 2006 A PW 2005 FALSE 0 0 0 -1.71690158649839 -0.800199382847688 CN06-015 1 0 0 5 5 2006-01-01 219 75 5 0 3.73873873873874 0.867768595041322 -1.38084837320901 -0.0700618913027372 4.77011494252874 -0.168635757542214 -0.377160648420148 0.874016977415176
CN06-015 41 NA 56 2006-08-17 Male 2006 A SR 2005 FALSE 0 0 0 -1.79939989812514 0.447391578239755 CN06-015 1 0 0 5 5 2006-01-01 228 84 5 0 3.73873873873874 0.867768595041322 -1.67624231614792 0.62555056414317 4.77011494252874 0.0940259550803381 -0.11691060231892 0.874014494143862
CN06-017 42 NA 52 2006-06-14 Male 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 -0.0516448061952222 CN06-017 1 0 0 4 4 2006-01-01 164 20 4 0 2.99099099099099 0.694214876033058 -0.790060487331203 0.973356791866123 3.81609195402299 -1.77379066801336 -1.3274097685312 0.695813655369119
